Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
19-S.Williams,,,DEN,15,16,171.0%,185.0%,1,34,0,100%,1,4.0,0,0,0
13-A.Erickson,,,CAR,14,15,33.2%,34.9%,4,55,0,75%,3,10.0,0,0,0
11-T.Taylor,00-0033292,Trent Taylor,CIN,14,14,49.5%,49.2%,3,41,0,67%,2,3.5,0,0,0
12-J.Ross,00-0033460,John Ross,NYG,14,14,-3.5%,-3.8%,20,224,1,55%,11,3.6,1,0,0
15-K.Coutee,00-0034366,Keke Coutee,IND,14,17,77.9%,96.5%,1,5,0,100%,1,0.0,0,1,40
11-D.Robinson,00-0032775,Demarcus Robinson,KC,13,17,-8.5%,-7.2%,41,264,3,61%,25,2.5,0,0,0
7-A.Roberts,00-0027691,Andre Roberts,HOU,11,10,62.8%,58.5%,2,35,0,50%,1,16.0,0,0,0
80-G.Olszewski,00-0035645,Gunner Olszewski,NE,11,12,32.3%,36.9%,3,31,0,67%,2,7.0,0,0,0
10-D.Patmon,00-0036228,Dezmon Patmon,IND,10,8,26.9%,19.7%,4,21,1,50%,2,1.5,0,0,0
1-P.Campbell,00-0035639,Parris Campbell,IND,10,13,-6.7%,-5.0%,20,162,1,50%,10,1.7,0,2,18
27-B.Price,,,DET,9,10,104.7%,107.2%,1,17,0,100%,1,8.0,0,0,0
16-B.Perriman,00-0032054,Breshad Perriman,TB,9,11,-6.5%,-5.0%,18,167,1,61%,11,9.3,0,0,0
10-D.Fitzpatrick,00-0036627,Dez Fitzpatrick,TEN,8,11,0.0%,4.1%,8,49,1,63%,5,0.6,0,0,0
17-A.Isabella,00-0035527,Andy Isabella,ARI,7,7,59.6%,57.1%,1,13,0,100%,1,7.0,0,0,0
9-M.Hall,,,ATL,7,7,75.0%,71.7%,1,10,0,100%,1,5.0,0,0,0
84-K.Hill,00-0036382,K.J. Hill,LAC,7,10,15.6%,28.8%,3,30,0,100%,3,4.0,0,0,0
88-M.Johnson,00-0023484,Marcus Johnson,TEN,7,13,-8.6%,-4.7%,19,160,0,47%,9,10.6,0,1,18
15-C.White,,,PIT,6,3,-0.7%,-7.0%,6,33,0,83%,5,2.8,0,0,0
37-A.Hooker,,,TEN,6,5,53.3%,40.9%,1,6,0,100%,1,2.0,0,0,0
17-K.Wilkerson,00-0036183,Kristian Wilkerson,NE,5,13,-5.8%,6.9%,8,42,2,50%,4,1.3,0,0,0
18-C.Board,00-0033367,C.J. Board,NYG,4,7,-4.4%,1.0%,6,51,0,67%,4,3.3,0,0,0
17-D.Chark,00-0034777,DJ Chark,JAC,3,14,-10.7%,-5.0%,22,154,2,32%,7,3.4,0,1,36
3-S.Shepard,00-0032385,Sterling Shepard,NYG,3,8,-11.9%,-10.8%,53,366,1,68%,36,3.1,0,3,26
3-T.Black,,,NYJ,3,0,8.1%,-10.3%,2,10,0,50%,1,0.0,0,0,0
17-J.Grant,00-0032791,Jakeem Grant,2TM,3,-4,-10.5%,-15.6%,17,132,2,65%,11,9.4,1,0,0
82-J.Crowder,00-0031941,Jamison Crowder,NYJ,2,8,-12.3%,-11.2%,70,447,2,71%,50,3.4,1,0,0
16-J.Smith,00-0035510,Jeff Smith,NYJ,1,-6,-11.7%,-16.9%,17,113,0,47%,8,1.9,0,2,18
14-S.Watkins,00-0031325,Sammy Watkins,BAL,1,-7,-12.5%,-14.6%,49,394,1,55%,27,4.0,1,0,0
10-S.Miller,00-0035298,Scott Miller,TB,1,2,-11.7%,-10.1%,9,38,0,56%,5,1.8,0,1,37
3-O.Beckham,00-0031235,Odell Beckham,2TM,0,-5,-12.6%,-13.4%,82,537,5,54%,44,3.4,0,1,11
13-C.Batson,00-0034652,Cameron Batson,TEN,0,0,-11.8%,-11.4%,5,15,1,40%,2,0.5,0,0,0
81-C.Saunders,,,CAR,0,-1,-15.6%,-19.7%,2,11,0,100%,2,0.0,0,0,0
