rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
42,21952,Rico Dowdle,DAL,RB,2,NO,8.5,36.4,4.3,0.2,2.0,1.4,11.3,0.1,0.0,0.0,8.0
43,20868,Alexander Mattison,LV,RB,2,BAL,7.0,25.6,3.7,0.2,3.0,2.1,15.0,0.1,0.1,0.1,7.8
44,21852,Ty Chandler,MIN,RB,2,SF,7.7,29.9,3.9,0.2,2.3,1.8,13.1,0.1,0.1,0.1,7.7
45,20360,Jeff Wilson Jr.,MIA,RB,2,BUF,8.0,33.0,4.1,0.3,1.6,1.2,8.8,0.0,0.0,0.0,7.2
46,24967,Bucky Irving,TB,RB,2,DET,7.3,29.0,4.0,0.2,1.6,1.3,9.5,0.1,0.1,0.1,6.8
47,20802,Justice Hill,BAL,RB,2,LV,2.7,12.1,4.5,0.1,3.0,2.4,18.1,0.1,0.0,0.0,6.6
48,20933,Miles Sanders,CAR,RB,2,LAC,8.7,32.8,3.8,0.1,1.9,1.3,8.3,0.0,0.2,0.2,5.6
49,21861,Antonio Gibson,NE,RB,2,SEA,5.8,22.1,3.8,0.2,1.4,1.2,9.0,0.0,0.0,0.0,5.5
50,23193,Tank Bigsby,JAC,RB,2,CLE,7.7,30.9,4.0,0.2,1.2,0.7,5.1,0.0,0.0,0.0,5.5
51,18993,Samaje Perine,KC,RB,2,CIN,2.1,8.9,4.2,0.1,1.8,1.6,12.1,0.1,0.0,0.0,4.9
52,18995,Jamaal Williams,NO,RB,2,DAL,6.6,23.1,3.5,0.2,0.8,0.8,4.7,0.0,0.0,0.0,4.8
53,25092,Tyrone Tracy Jr.,NYG,RB,2,WAS,3.5,14.2,4.1,0.1,1.3,1.0,7.4,0.1,0.0,0.0,4.4
54,24923,Jaylen Wright,MIA,RB,2,BUF,4.1,21.5,5.2,0.1,1.3,0.9,6.4,0.0,0.0,0.0,4.3
55,23250,Tyler Allgeier,ATL,RB,2,PHI,5.8,21.6,3.7,0.1,1.0,0.9,6.3,0.0,0.0,0.0,4.3
56,24292,Trey Benson,ARI,RB,2,LA,4.8,18.9,3.9,0.1,1.1,1.0,6.7,0.0,0.0,0.0,4.2
57,23218,Pierre Strong Jr.,CLE,RB,2,JAC,3.3,14.0,4.2,0.1,1.5,1.1,8.0,0.0,0.0,0.0,3.9
58,24980,Ray Davis,BUF,RB,2,MIA,4.3,16.9,3.9,0.1,1.0,0.8,6.3,0.0,0.0,0.0,3.7
59,22563,Khalil Herbert,CHI,RB,2,HOU,5.2,18.8,3.6,0.1,0.7,0.6,4.3,0.0,0.0,0.0,3.5
60,24934,Braelon Allen,NYJ,RB,2,TEN,5.0,18.8,3.8,0.1,0.7,0.6,4.0,0.0,0.0,0.0,3.5
61,24372,Roschon Johnson,CHI,RB,2,HOU,2.4,10.0,4.2,0.1,1.5,0.8,6.0,0.1,0.1,0.1,3.4
62,24609,Emari Demercado,ARI,RB,2,LA,1.5,6.3,4.2,0.0,1.5,1.2,8.0,0.1,0.0,0.0,3.2
63,23211,MarShawn Lloyd,GB,RB,2,IND,4.2,14.8,3.5,0.1,0.8,0.7,5.0,0.0,0.1,0.1,3.1
64,22562,Kenneth Gainwell,PHI,RB,2,ATL,2.4,10.3,4.3,0.1,1.1,0.9,6.3,0.0,0.1,0.1,3.0
65,23223,Dameon Pierce,HOU,RB,2,CHI,3.9,14.7,3.8,0.1,0.6,0.4,3.5,0.0,0.0,0.0,2.8
66,18993,Samaje Perine,DEN,RB,2,PIT,1.5,7.1,4.8,0.0,1.7,1.1,9.0,0.0,0.0,0.0,2.7
67,23195,Eric Gray,NYG,RB,2,WAS,3.1,11.3,3.6,0.1,0.7,0.5,4.1,0.0,0.0,0.0,2.6
68,20837,Ty Johnson,BUF,RB,2,MIA,2.2,8.5,3.9,0.1,1.2,0.6,4.5,0.0,0.0,0.0,2.5
69,22547,Ronnie Rivers,LA,RB,2,ARI,3.3,13.1,4.0,0.1,0.4,0.3,2.3,0.0,0.0,0.0,2.4
70,14901,Kyle Juszczyk,SF,RB,2,MIN,0.5,1.8,3.6,0.0,1.1,0.9,6.9,0.1,0.0,0.0,2.4
71,15150,Cordarrelle Patterson,PIT,RB,2,DEN,2.4,9.5,4.0,0.1,0.4,0.4,3.2,0.0,0.0,0.0,2.3
72,24365,Deneric Prince,KC,RB,2,CIN,2.2,8.1,3.7,0.0,0.5,0.3,2.2,0.1,0.0,0.0,1.9
73,25063,Isaac Guerendo,SF,RB,2,MIN,1.7,8.1,4.8,0.1,0.4,0.3,2.1,0.0,0.0,0.0,1.9
74,21801,Trey Sermon,IND,RB,2,GB,1.5,6.8,4.5,0.1,0.4,0.3,2.5,0.0,0.0,0.0,1.8
75,23201,Jase McClellan,ATL,RB,2,PHI,0.7,3.1,4.4,0.0,0.8,0.5,3.8,0.1,0.0,0.0,1.8
76,24116,Blake Corum,LA,RB,2,ARI,1.7,7.4,4.4,0.1,0.3,0.2,1.8,0.0,0.0,0.0,1.7
77,20810,Travis Homer,CHI,RB,2,HOU,1.4,6.6,4.8,0.0,0.7,0.6,4.0,0.0,0.0,0.0,1.7
78,19823,Royce Freeman,DAL,RB,2,NO,2.3,10.1,4.4,0.0,0.5,0.4,2.1,0.0,0.0,0.0,1.6
79,24309,Emanuel Wilson,GB,RB,2,IND,2.0,9.5,4.8,0.0,0.4,0.4,2.4,0.0,0.0,0.0,1.6
80,25079,Kimani Vidal,LAC,RB,2,CAR,1.3,5.6,4.3,0.1,0.3,0.2,1.6,0.0,0.0,0.0,1.5
81,19626,Dare Ogunbowale,HOU,RB,2,CHI,0.9,3.7,4.1,0.0,1.0,0.6,5.0,0.0,0.0,0.0,1.5
82,25064,Isaiah Davis,NYJ,RB,2,TEN,0.8,4.2,5.2,0.1,0.3,0.2,1.8,0.0,0.0,0.0,1.4
83,21776,Joshua Kelley,NYG,RB,2,WAS,1.3,6.3,4.8,0.0,0.4,0.3,1.9,0.0,0.0,0.0,1.3
